"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"94","MotorUp","","point","4.999999999999943,-124,0","motor number","40"
"95","MotorUp","","point","4,-112,0","motor number","41"
"96","MotorUp","","point","4.999999999999943,-100,0","motor number","42"
"97","MotorUp","","point","7.000000000000057,-87,0","motor number","43"
"98","MotorUp","","point","11.00000000000006,-74.99999999999994,0","motor number","44"
"99","MotorUp","","point","15.99999999999977,-64.00000000000011,0","motor number","45"
"100","MotorUp","","point","21.99999999999994,-52.99999999999994,0","motor number","46"
"101","MotorUp","","point","29,-43.00000000000011,0","motor number","47"
"102","MotorUp","","point","38,-32.99999999999994,0","motor number","48"
"103","MotorUp","","point","48,-25.00000000000011,0","motor number","49"
"104","MotorUp","","point","58,-18,0","motor number","50"
"105","MotorUp","","point","69.00000000000011,-13,0","motor number","51"
"106","MotorUp","","point","81,-9,0","motor number","52"
"107","MotorUp","","point","93.00000000000011,-5.999999999999943,0","motor number","53"
"108","MotorUp","","point","105.9999999999999,-4,0","motor number","54"
